"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"140","Iced Coffee with AlmondMilk ","Large","Almond","946",35,1,0,0,0,75,5,0,5,1,193,0.15,0,0,396
"141","Iced Coffee with AlmondMilk ","Medium","Almond","709",25,0.5,0,0,0,50,4,0,3,1,130,0.1,0,0,297
"142","Iced Coffee with AlmondMilk ","Small","Almond","354",15,0,0,0,0,30,2,0,2,0,68,0.05,0,0,198
"143","Iced Coffee with Cream ","Large","Cream","946",120,12,6,0,35,65,2,0,2,2,75,0.06,0,0,396
"144","Iced Coffee with Cream ","Medium","Cream","709",90,9,4.5,0,25,45,1,0,1,2,55,0.04,0,0,297
"145","Iced Coffee with Cream ","Small","Cream","354",60,6,3,0,20,30,1,0,1,1,37,0.03,0,0,198
"146","Iced Coffee with Cream and Sugar ","Large","Cream","946",260,12,6,0,35,65,37,0,36,2,75,0.06,0,0,396
"147","Iced Coffee with Cream and Sugar ","Medium","Cream","709",190,9,4.5,0,25,45,27,0,27,2,55,0.04,0,0,297
"148","Iced Coffee with Cream and Sugar ","Small","Cream","354",130,6,3,0,20,30,18,0,18,1,38,0.03,0,0,198
"149","Iced Coffee with Skim Milk ","Large","Nonfat","946",25,0,0,0,0,45,3,0,3,3,94,0.07,0,0,396
"150","Iced Coffee with Skim Milk ","Medium","Nonfat","709",20,0,0,0,0,35,2,0,2,2,70,0.05,0,0,297
"151","Iced Coffee with Skim Milk ","Small","Nonfat","354",15,0,0,0,0,25,2,0,2,1,47,0.04,0,0,198
"152","Iced Coffee with Skim Milk and Sugar ","Large","Nonfat","946",160,0,0,0,0,45,38,0,38,3,95,0.07,0,0,396
"153","Iced Coffee with Skim Milk and Sugar ","Medium","Nonfat","709",120,0,0,0,0,35,28,0,28,2,70,0.05,0,0,297
"154","Iced Coffee with Skim Milk and Sugar ","Small","Nonfat","354",80,0,0,0,0,25,19,0,19,1,47,0.04,0,0,198
"155","Iced Coffee with Sugar ","Large",NA,"946",140,0,0,0,0,20,35,0,35,1,21,0.02,0,0,396
"156","Iced Coffee with Sugar ","Medium",NA,"709",110,0,0,0,0,15,26,0,26,0,15,0.01,0,0,297
"157","Iced Coffee with Sugar ","Small",NA,"354",70,0,0,0,0,10,17,0,17,0,11,0.01,0,0,198
"158","Iced Coffee with Whole Milk ","Large","Whole","946",40,2,1,0,5,45,3,0,3,3,89,0.07,0,0,396
"159","Iced Coffee with Whole Milk ","Medium","Whole","709",30,1.5,1,0,5,35,2,0,2,2,66,0.05,0,0,297
"160","Iced Coffee with Whole Milk ","Small","Whole","354",20,1,0.5,0,5,25,1,0,1,1,44,0.03,0,0,198
"161","Iced Coffee with Whole Milk and Sugar ","Large","Whole","946",180,2,1,0,5,45,38,0,38,3,89,0.07,0,0,396
"162","Iced Coffee with Whole Milk and Sugar ","Medium","Whole","709",130,1.5,1,0,5,35,28,0,28,2,66,0.05,0,0,297
"163","Iced Coffee with Whole Milk and Sugar ","Small","Whole","354",90,1,0.5,0,5,25,19,0,19,1,45,0.03,0,0,198
"164","Mocha Swirl Iced Coffee Large","Large",NA,"946",210,1,0,0,0,50,50,2,46,2,31,0.02,2,0.11,396
"165","Mocha Swirl Iced Coffee Medium","Medium",NA,"709",160,0.5,0,0,0,35,38,2,34,2,23,0.02,1,0.06,297
"166","Mocha Swirl Iced Coffee Small","Small",NA,"354",110,0,0,0,0,25,25,1,23,1,16,0.01,1,0.06,198
"167","Mocha Swirl Iced Coffee with Cream ","Large","Cream","946",330,12,7,0,35,90,52,2,47,4,84,0.06,2,0.11,396
