menu_item,size,cals,price
Chai Tea Latte,Short,120,3.85
Chai Tea Latte,Tall,190,3.95
Chai Tea Latte,Grande,240,4.65
Chai Tea Latte,Venti,310,4.95
Chai Tea,Short,0,2.35
Chai Tea,Tall,0,2.45
Chai Tea,Grande,0,2.75
Chai Tea,Venti,0,2.95
Earl Grey Tea,Short,0,2.35
Earl Grey Tea,Tall,0,2.45
Earl Grey Tea,Grande,0,2.75
Earl Grey Tea,Venti,0,2.95
London Fog tea Latte,Short,90,3.85
London Fog tea Latte,Tall,140,3.95
London Fog tea Latte,Grande,180,4.65
London Fog tea Latte,Venti,230,4.95
Royal English Breakfast Tea,Short,0,2.35
Royal English Breakfast Tea,Tall,0,2.45
Royal English Breakfast Tea,Grande,0,2.75
Royal English Breakfast Tea,Venti,0,2.95
Royal English Breakfast Tea Latte,Short,80,4.15
Royal English Breakfast Tea Latte,Tall,110,4.25
Royal English Breakfast Tea Latte,Grande,150,4.75
Royal English Breakfast Tea Latte,Venti,190,4.95
Emporar's Cloud & Mist,Short,0,2.35
Emporar's Cloud & Mist,Tall,0,2.45
Emporar's Cloud & Mist,Grande,0,2.75
Emporar's Cloud & Mist,Venti,0,2.95
Matcha tea Latte,Short,110,3.85
Matcha tea Latte,Tall,190,3.95
Matcha tea Latte,Grande,240,4.65
Matcha tea Latte,Venti,320,4.95
Jade Citrus Mint Brewed Tea,Short,0,2.35
Jade Citrus Mint Brewed Tea,Tall,0,2.45
Jade Citrus Mint Brewed Tea,Grande,0,2.75
Jade Citrus Mint Brewed Tea,Venti,0,2.95
Honey Citrus Mint Tea,Short,60,2.85
Honey Citrus Mint Tea,Tall,80,2.95
Honey Citrus Mint Tea,Grande,130,3.45
Honey Citrus Mint Tea,Venti,150,3.95
Mint Majesty,Short,0,2.35
Mint Majesty,Tall,0,2.45
Mint Majesty,Grande,0,2.75
Mint Majesty,Venti,0,2.95
Peach Tranquality,Short,0,2.35
Peach Tranquality,Tall,0,2.45
Peach Tranquality,Grande,0,2.75
Peach Tranquality,Venti,0,2.95
Hot Chocolate,Short,190,2.85
Hot Chocolate,Tall,280,2.95
Hot Chocolate,Grande,370,3.45
Hot Chocolate,Venti,450,3.65
White Hot Chocolate,Short,240,3.35
White Hot Chocolate,Tall,350,3.45
White Hot Chocolate,Grande,440,3.95
White Hot Chocolate,Venti,540,4.15
Caramel Apple Spice,Short,220,2.85
Caramel Apple Spice,Tall,310,2.95
Caramel Apple Spice,Grande,380,3.45
Caramel Apple Spice,Venti,460,3.65
Steamed Apple Juice,Short,120,2.35
Steamed Apple Juice,Tall,170,2.45
Steamed Apple Juice,Grande,220,2.65
