drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts
Iced Mocha with Nonfat Milk (Medium),270,70,8,4.5,0,10,140,43,0,35,7,302.5
Iced Nonfat Caramel Mocha (Large),300,60,6,4,0,10,230,49,0,45,11,338
Iced Nonfat Caramel Mocha (Medium),240,60,6,4,0,10,190,37,0,34,9,269
Iced Nonfat Caramel Mocha (Small),200,50,6,4,0,10,140,29,0,26,6,224
Nonfat Caramel Mocha (Large),280,35,4,2.5,0,10,260,49,0,46,12,316.5
Nonfat Caramel Mocha (Medium),240,35,4,2.5,0,5,200,41,0,38,9,271.5
Nonfat Caramel Mocha (Small),200,35,4,2.5,0,5,170,34,0,31,8,225.5
McCafe Coffees – Whole Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cappuccino (Small),120,60,7,4,0,20,85,9,0,9,6,127
Cappuccino (Medium),140,70,8,4.5,0,25,105,11,0,11,8,147.5
Cappuccino (Large),180,90,10,6,0,30,130,13,0,13,9,190
Latte (Small),150,70,8,4.5,0,25,105,11,0,11,8,157.5
Latte (Medium),180,90,10,6,0,30,130,13,0,13,10,189
Latte (Large),210,100,11,7,0,35,150,16,0,16,11,222
Caramel Cappuccino (Small),200,45,5,3,0,15,125,32,0,32,5,230
Caramel Cappuccino (Medium),240,50,6,3.5,0,20,150,41,0,40,6,277.5
Caramel Cappuccino (Large),290,70,8,4.5,0,25,190,49,0,49,8,335.5
Caramel Latte (Small),230,60,7,4,0,20,140,35,0,35,7,262
Caramel Latte (Medium),280,70,8,4.5,0,25,170,43,0,43,8,319.5
Caramel Latte (Large),330,80,9,5,0,30,210,52,0,51,9,377
Hazelnut Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232
Hazelnut Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5
Hazelnut Cappuccino (Large),290,70,8,4.5,0,25,105,51,0,51,7,338.5
Hazelnut Latte (Small),230,60,7,4,0,20,90,36,0,36,7,263
Hazelnut Latte (Medium),280,70,8,4.5,0,25,110,45,0,45,8,321.5
Hazelnut Latte (Large),330,80,9,5,0,30,130,53,0,53,9,379
Vanilla Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232
Vanilla Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5
Vanilla Cappuccino (Large),290,70,8,4.5,0,25,105,51,0,51,7,338.5
Vanilla Latte (Small),230,60,7,4,0,20,90,36,0,36,7,263
Vanilla Latte (Medium),280,70,8,4.5,0,25,110,44,0,44,8,320.5
Vanilla Latte (Large),330,80,9,5,0,30,130,53,0,53,9,379
Cappuccino with Sugar Free Vanilla Syrup (Small),100,50,5,3,0,15,105,15,0,7,5,105
Cappuccino with Sugar Free Vanilla Syrup (Medium),120,60,6,3.5,0,20,130,18,0,9,6,126.5
Cappuccino with Sugar Free Vanilla Syrup (Large),150,70,8,4.5,0,25,160,22,0,11,8,157.5
Latte with Sugar Free Vanilla Syrup (Small),130,60,7,4,0,20,125,17,0,10,7,137
Latte with Sugar Free Vanilla Syrup (Medium),160,70,8,5,0,25,150,21,0,11,8,168
Latte with Sugar Free Vanilla Syrup (Large),180,90,10,6,0,30,180,25,0,13,10,189
Mocha (Small),280,100,11,6,0,20,125,40,0,33,6,313
Mocha (Medium),330,110,12,7,0,25,150,48,0,41,7,371
Mocha (Large),400,130,14,8,0.5,30,190,58,0,49,10,447
Hot Chocolate (Small),300,110,12,7,0,25,135,41,0,35,8,334
Hot Chocolate (Medium),380,130,15,9,0.5,30,170,53,0,45,10,424
Hot Chocolate (Large),460,160,18,10,0.5,40,220,63,0,54,13,511
Iced Latte (Small),80,40,4.5,2.5,0,15,65,6,0,6,4,84.5
Iced Latte (Medium),100,50,6,3.5,0,15,80,8,0,8,6,105.5
Iced Latte (Large),140,70,8,4.5,0,25,105,10,0,10,7,147.5
Iced Caramel Latte (Small),160,25,3,1.5,0,10,100,29,0,29,3,187.5
Iced Caramel Latte (Medium),180,40,4.5,2.5,0,15,120,31,0,31,4,209.5
Iced Caramel Latte (Large),230,50,6,3.5,0,15,150,40,0,40,6,267.5
Iced Hazelnut Latte (Small),160,25,3,1.5,0,10,45,31,0,31,3,189.5
Iced Hazelnut Latte (Medium),180,40,4.5,2.5,0,15,65,33,0,33,4,211.5
Iced Hazelnut Latte (Large),230,50,6,3.5,0,15,85,41,0,41,6,268.5
Iced Vanilla Latte (Small),160,25,3,1.5,0,10,45,31,0,31,3,189.5
Iced Vanilla Latte (Medium),190,40,4.5,2.5,0,15,70,33,0,33,5,220.5
Iced Vanilla Latte (Large),230,50,6,3.5,0,15,85,41,0,41,6,268.5
Iced Latte with Sugar Free Vanilla Syrup (Small),60,30,3,2,0,10,80,12,0,4,3,63
Iced Latte with Sugar Free Vanilla Syrup (Medium),90,40,5,3,0,15,105,14,0,6,5,94
Iced Latte with Sugar Free Vanilla Syrup (Large),110,50,6,3.5,0,15,130,19,0,8,6,115.5
Iced Mocha (Medium),310,120,13,8,0,25,140,42,0,35,7,346
Caramel Mocha (Large),360,130,14,8,0.5,35,220,47,0,46,10,404
Caramel Mocha (Medium),290,100,12,7,0,25,180,39,0,38,8,327
Caramel Mocha (Small),250,90,11,6,0,25,150,33,0,31,7,280
