"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"114","Signature Cocoa Mocha Iced Latte with Skim Milk ","Medium","Nonfat","709",330,6,3.5,0,20,160,60,2,52,11,373,0.29,2,0.11,NA
"115","Signature Cocoa Mocha Iced Latte with Skim Milk ","Small","Nonfat","354",250,5,3.5,0,20,115,43,1,36,8,255,0.2,1,0.06,NA
"116","Signature Cocoa Mocha Iced Latte with Whole Milk ","Large","Whole","946",520,18,11,0.5,55,220,77,2,68,14,460,0.35,2,0.11,NA
"117","Signature Cocoa Mocha Iced Latte with Whole Milk ","Medium","Whole","709",400,14,9,0,45,170,60,2,52,10,347,0.27,2,0.11,NA
"118","Signature Cocoa Mocha Iced Latte with Whole Milk ","Small","Whole","354",300,11,7,0,35,115,42,1,36,7,238,0.18,1,0.06,NA
"119","Caramel Swirl Iced Coffee ","Large",NA,"946",230,0,0,0,5,85,52,0,51,3,123,0.09,0,0,NA
"120","Caramel Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,65,39,0,38,3,92,0.07,0,0,NA
"121","Caramel Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,45,26,0,26,2,62,0.05,0,0,NA
"122","Caramel Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,130,53,0,53,5,177,0.14,0,0,NA
"123","Caramel Swirl Iced Coffee with Cream ","Medium","Cream","709",260,9,4.5,0,30,95,40,0,40,4,132,0.1,0,0,NA
"124","Caramel Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,65,27,0,26,3,89,0.07,0,0,NA
"125","French Vanilla Swirl Iced Coffee ","Large",NA,"946",220,0,0,0,5,80,51,0,49,3,104,0.08,0,0,NA
"126","French Vanilla Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,60,38,0,37,2,77,0.06,0,0,NA
"127","French Vanilla Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,40,26,0,24,2,52,0.04,0,0,NA
"128","French Vanilla Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,120,53,0,50,5,157,0.12,0,0,NA
"129","French Vanilla Swirl Iced Coffee with Cream ","Medium","Cream","709",250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0,NA
"130","French Vanilla Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,60,26,0,25,2,79,0.06,0,0,NA
"131","Hazelnut Swirl Iced Coffee ","Large",NA,"946",220,0,0,0,5,80,51,0,49,3,104,0.08,0,0,NA
"132","Hazelnut Swirl Iced Coffee ","Medium",NA,"709",170,0,0,0,5,60,38,0,37,2,77,0.06,0,0,NA
"133","Hazelnut Swirl Iced Coffee ","Small",NA,"354",110,0,0,0,0,40,26,0,24,2,53,0.04,0,0,NA
"134","Hazelnut Swirl Iced Coffee with Cream ","Large","Cream","946",340,12,6,0,40,120,53,0,50,5,157,0.12,0,0,NA
"135","Hazelnut Swirl Iced Coffee with Cream ","Medium","Cream","709",250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0,NA
"136","Hazelnut Swirl Iced Coffee with Cream ","Small","Cream","354",170,6,3,0,20,60,27,0,25,2,79,0.06,0,0,NA
"137","Iced Cafe Au Lait with Skim Milk ","Large","Nonfat","946",90,0,0,0,5,120,12,0,12,9,315,0.24,0,0,NA
"138","Iced Cafe Au Lait with Skim Milk ","Medium","Nonfat","709",60,0,0,0,5,90,9,0,9,6,235,0.18,0,0,NA
"139","Iced Cafe Au Lait with Skim Milk ","Small","Nonfat","354",45,0,0,0,0,60,6,0,6,4,158,0.12,0,0,NA
"140","Iced Cafe Au Lait with Whole Milk ","Large","Whole","946",150,8,4.5,0,25,120,12,0,12,8,292,0.22,0,0,NA
"141","Iced Cafe Au Lait with Whole Milk ","Medium","Whole","709",110,6,3.5,0,20,90,9,0,9,6,218,0.17,0,0,NA
"142","Iced Cafe Au Lait with Whole Milk ","Small","Whole","354",80,4,2.5,0,10,60,6,0,6,4,146,0.11,0,0,NA
"143","Iced Coffee ","Large",NA,"946",5,0,0,0,0,20,0,0,0,1,21,0.02,0,0,NA
"144","Iced Coffee ","Medium",NA,"709",5,0,0,0,0,15,0,0,0,0,15,0.01,0,0,NA
"145","Iced Coffee ","Small",NA,"354",5,0,0,0,0,10,0,0,0,0,11,0.01,0,0,NA
"146","Iced Coffee with AlmondMilk ","Large","Almond","946",35,1,0,0,0,75,5,0,5,1,193,0.15,0,0,NA
"147","Iced Coffee with AlmondMilk ","Medium","Almond","709",25,0.5,0,0,0,50,4,0,3,1,130,0.1,0,0,NA
"148","Iced Coffee with AlmondMilk ","Small","Almond","354",15,0,0,0,0,30,2,0,2,0,68,0.05,0,0,NA
"149","Iced Coffee with Cream ","Large","Cream","946",120,12,6,0,35,65,2,0,2,2,75,0.06,0,0,NA
"150","Iced Coffee with Cream ","Medium","Cream","709",90,9,4.5,0,25,45,1,0,1,2,55,0.04,0,0,NA
"151","Iced Coffee with Cream ","Small","Cream","354",60,6,3,0,20,30,1,0,1,1,37,0.03,0,0,NA
"152","Iced Coffee with Cream and Sugar ","Large","Cream","946",260,12,6,0,35,65,37,0,36,2,75,0.06,0,0,NA
"153","Iced Coffee with Cream and Sugar ","Medium","Cream","709",190,9,4.5,0,25,45,27,0,27,2,55,0.04,0,0,NA
"154","Iced Coffee with Cream and Sugar ","Small","Cream","354",130,6,3,0,20,30,18,0,18,1,38,0.03,0,0,NA
"155","Iced Coffee with Skim Milk ","Large","Nonfat","946",25,0,0,0,0,45,3,0,3,3,94,0.07,0,0,NA
"156","Iced Coffee with Skim Milk ","Medium","Nonfat","709",20,0,0,0,0,35,2,0,2,2,70,0.05,0,0,NA
"157","Iced Coffee with Skim Milk ","Small","Nonfat","354",15,0,0,0,0,25,2,0,2,1,47,0.04,0,0,NA
"158","Iced Coffee with Skim Milk and Sugar ","Large","Nonfat","946",160,0,0,0,0,45,38,0,38,3,95,0.07,0,0,NA
"159","Iced Coffee with Skim Milk and Sugar ","Medium","Nonfat","709",120,0,0,0,0,35,28,0,28,2,70,0.05,0,0,NA
"160","Iced Coffee with Skim Milk and Sugar ","Small","Nonfat","354",80,0,0,0,0,25,19,0,19,1,47,0.04,0,0,NA
"161","Iced Coffee with Sugar ","Large",NA,"946",140,0,0,0,0,20,35,0,35,1,21,0.02,0,0,NA
"162","Iced Coffee with Sugar ","Medium",NA,"709",110,0,0,0,0,15,26,0,26,0,15,0.01,0,0,NA
"163","Iced Coffee with Sugar ","Small",NA,"354",70,0,0,0,0,10,17,0,17,0,11,0.01,0,0,NA
"164","Iced Coffee with Whole Milk ","Large","Whole","946",40,2,1,0,5,45,3,0,3,3,89,0.07,0,0,NA
"165","Iced Coffee with Whole Milk ","Medium","Whole","709",30,1.5,1,0,5,35,2,0,2,2,66,0.05,0,0,NA
"166","Iced Coffee with Whole Milk ","Small","Whole","354",20,1,0.5,0,5,25,1,0,1,1,44,0.03,0,0,NA
"167","Iced Coffee with Whole Milk and Sugar ","Large","Whole","946",180,2,1,0,5,45,38,0,38,3,89,0.07,0,0,NA
"168","Iced Coffee with Whole Milk and Sugar ","Medium","Whole","709",130,1.5,1,0,5,35,28,0,28,2,66,0.05,0,0,NA
"169","Iced Coffee with Whole Milk and Sugar ","Small","Whole","354",90,1,0.5,0,5,25,19,0,19,1,45,0.03,0,0,NA
"170","Mocha Swirl Iced Coffee Large","Large",NA,"946",210,1,0,0,0,50,50,2,46,2,31,0.02,2,0.11,NA
"171","Mocha Swirl Iced Coffee Medium","Medium",NA,"709",160,0.5,0,0,0,35,38,2,34,2,23,0.02,1,0.06,NA
"172","Mocha Swirl Iced Coffee Small","Small",NA,"354",110,0,0,0,0,25,25,1,23,1,16,0.01,1,0.06,NA
"173","Mocha Swirl Iced Coffee with Cream ","Large","Cream","946",330,12,7,0,35,90,52,2,47,4,84,0.06,2,0.11,NA
"174","Mocha Swirl Iced Coffee with Cream ","Medium","Cream","709",240,9,5,0,25,65,39,2,35,3,63,0.05,1,0.06,NA
"175","Mocha Swirl Iced Coffee with Cream ","Small","Cream","354",160,6,3.5,0,20,45,26,1,24,2,43,0.03,1,0.06,NA
"176","Caramel Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,250,71,0,69,15,568,0.44,0,0,NA
"177","Caramel Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,190,53,0,52,11,426,0.33,0,0,NA
"178","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Large","Nonfat","946",310,0,0,0,10,190,65,0,61,11,400,0.31,0,0,NA
"179","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",230,0,0,0,5,140,48,0,46,8,299,0.23,0,0,NA
"180","French Vanilla Swirl Iced Cappuccino with Skim Milk ","Small","Nonfat","354",150,0,0,0,5,95,32,0,30,5,200,0.15,0,0,NA
"181","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Large","Whole","946",370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0,NA
"182","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Medium","Whole","709",280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0,NA
"183","French Vanilla Swirl Iced Cappuccino with Whole Milk ","Small","Whole","354",190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0,NA
"184","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Large","Nonfat","946",310,0,0,0,10,190,65,0,61,11,400,0.31,0,0,NA
"185","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",230,0,0,0,5,140,49,0,46,8,299,0.23,0,0,NA
"186","Hazelnut Swirl Iced Cappuccino with Skim Milk ","Small","Nonfat","354",150,0,0,0,5,95,32,0,30,5,200,0.15,0,0,NA
"187","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Large","Whole","946",370,8,4.5,0,30,190,64,0,60,10,377,0.29,0,0,NA
"188","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Medium","Whole","709",280,6,3.5,0,20,140,48,0,45,8,282,0.22,0,0,NA
"189","Hazelnut Swirl Iced Cappuccino with Whole Milk ","Small","Whole","354",190,4,2.5,0,15,95,32,0,30,5,189,0.15,0,0,NA
"190","Iced Cappuccino with Skim Milk ","Large","Nonfat","946",90,0,0,0,5,130,13,0,12,8,316,0.24,0,0,NA
"191","Iced Cappuccino with Skim Milk ","Medium","Nonfat","709",70,0,0,0,5,95,10,0,9,6,236,0.18,0,0,NA
"192","Iced Cappuccino with Skim Milk ","Small","Nonfat","354",45,0,0,0,0,65,7,0,6,4,158,0.12,0,0,NA
"193","Iced Cappuccino with Skim Milk and Sugar ","Large","Nonfat","946",230,0,0,0,5,130,48,0,47,8,316,0.24,0,0,NA
"194","Iced Cappuccino with Skim Milk and Sugar ","Medium","Nonfat","709",170,0,0,0,5,95,36,0,35,6,236,0.18,0,0,NA
"195","Iced Cappuccino with Skim Milk and Sugar ","Small","Nonfat","354",110,0,0,0,0,65,24,0,23,4,158,0.12,0,0,NA
