NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Mocha Swirl Iced Latte with Skim Milk - Medium,Medium,NA,250,1,0.5,0,5,160,52,2,48,10,356,0.27,1,0.06
Mocha Swirl Iced Latte with Skim Milk - Small,Small,NA,170,0.5,0,0,5,105,35,1,32,7,238,0.18,1,0.06
Mocha Swirl Iced Latte with Whole Milk - Large,Large,NA,440,13,7,0,35,220,69,2,63,13,442,0.34,2,0.11
Mocha Swirl Iced Latte with Whole Milk - Medium,Medium,NA,330,10,6,0,25,160,52,2,47,10,330,0.25,1,0.06
Mocha Swirl Iced Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,110,35,1,32,7,221,0.17,1,0.06
Signature Caramel Craze Iced Latte with Skim Milk - Large,Large,NA,430,6,3.5,0,30,250,79,0,75,16,586,0.45,0,0
Signature Caramel Craze Iced Latte with Skim Milk - Medium,Medium,NA,340,5,3,0,25,190,61,0,57,12,442,0.34,0,0
Signature Caramel Craze Iced Latte with Skim Milk - Small,Small,NA,250,5,3,0,20,130,43,0,40,8,303,0.23,0,0
Signature Caramel Craze Iced Latte with Whole Milk - Large,Large,NA,530,17,10,0.5,60,250,79,0,74,15,551,0.42,0,0
Signature Caramel Craze Iced Latte with Whole Milk - Medium,Medium,NA,410,14,8,0,45,190,61,0,57,11,416,0.32,0,0
Signature Caramel Craze Iced Latte with Whole Milk - Small,Small,NA,300,11,6,0,35,130,43,0,39,8,285,0.22,0,0
Signature Cocoa Mocha Iced Latte with Skim Milk - Large,Large,NA,420,6,4,0,25,220,78,2,69,15,495,0.38,2,0.11
Signature Cocoa Mocha Iced Latte with Skim Milk - Medium,Medium,NA,330,6,3.5,0,20,160,60,2,52,11,373,0.29,2,0.11
Signature Cocoa Mocha Iced Latte with Skim Milk - Small,Small,NA,250,5,3.5,0,20,115,43,1,36,8,255,0.2,1,0.06
Signature Cocoa Mocha Iced Latte with Whole Milk - Large,Large,NA,520,18,11,0.5,55,220,77,2,68,14,460,0.35,2,0.11
Signature Cocoa Mocha Iced Latte with Whole Milk - Medium,Medium,NA,400,14,9,0,45,170,60,2,52,10,347,0.27,2,0.11
Signature Cocoa Mocha Iced Latte with Whole Milk - Small,Small,NA,300,11,7,0,35,115,42,1,36,7,238,0.18,1,0.06
Caramel Swirl Iced Coffee - Large,Large,NA,230,0,0,0,5,85,52,0,51,3,123,0.09,0,0
Caramel Swirl Iced Coffee -Medium,Medium,NA,170,0,0,0,5,65,39,0,38,3,92,0.07,0,0
Caramel Swirl Iced Coffee - Small,Small,NA,110,0,0,0,0,45,26,0,26,2,62,0.05,0,0
Caramel Swirl Iced Coffee with Cream - Large,Large,NA,340,12,6,0,40,130,53,0,53,5,177,0.14,0,0
Caramel Swirl Iced Coffee with Cream - Medium,Medium,NA,260,9,4.5,0,30,95,40,0,40,4,132,0.1,0,0
Caramel Swirl Iced Coffee with Cream - Small,Small,NA,170,6,3,0,20,65,27,0,26,3,89,0.07,0,0
French Vanilla Swirl Iced Coffee -Large,Large,NA,220,0,0,0,5,80,51,0,49,3,104,0.08,0,0
French Vanilla Swirl Iced Coffee -Medium,Medium,NA,170,0,0,0,5,60,38,0,37,2,77,0.06,0,0
French Vanilla Swirl Iced Coffee -Small,Small,NA,110,0,0,0,0,40,26,0,24,2,52,0.04,0,0
French Vanilla Swirl Iced Coffee with Cream - Large,Large,NA,340,12,6,0,40,120,53,0,50,5,157,0.12,0,0
French Vanilla Swirl Iced Coffee with Cream - Medium,Medium,NA,250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0
French Vanilla Swirl Iced Coffee with Cream - Small,Small,NA,170,6,3,0,20,60,26,0,25,2,79,0.06,0,0
Hazelnut Swirl Iced Coffee - Large,Large,NA,220,0,0,0,5,80,51,0,49,3,104,0.08,0,0
Hazelnut Swirl Iced Coffee -Medium,Medium,NA,170,0,0,0,5,60,38,0,37,2,77,0.06,0,0
Hazelnut Swirl Iced Coffee - Small,Small,NA,110,0,0,0,0,40,26,0,24,2,53,0.04,0,0
Hazelnut Swirl Iced Coffee with Cream - Large,Large,NA,340,12,6,0,40,120,53,0,50,5,157,0.12,0,0
Hazelnut Swirl Iced Coffee with Cream - Medium,Medium,NA,250,9,4.5,0,30,90,40,0,38,4,118,0.09,0,0
Hazelnut Swirl Iced Coffee with Cream - Small,Small,NA,170,6,3,0,20,60,27,0,25,2,79,0.06,0,0
Iced Café Au Lait with Skim Milk - Large,Large,NA,90,0,0,0,5,120,12,0,12,9,315,0.24,0,0
Iced Café Au Lait with Skim Milk - Medium,Medium,NA,60,0,0,0,5,90,9,0,9,6,235,0.18,0,0
Iced Café Au Lait with Skim Milk - Small,Small,NA,45,0,0,0,0,60,6,0,6,4,158,0.12,0,0
Iced Café Au Lait with Whole Milk - Large,Large,NA,150,8,4.5,0,25,120,12,0,12,8,292,0.22,0,0
Iced Café Au Lait with Whole Milk - Medium,Medium,NA,110,6,3.5,0,20,90,9,0,9,6,218,0.17,0,0
Iced Café Au Lait with Whole Milk - Small,Small,NA,80,4,2.5,0,10,60,6,0,6,4,146,0.11,0,0
Iced Coffee - Large,Large,NA,5,0,0,0,0,20,0,0,0,1,21,0.02,0,0
Iced Coffee - Medium,Medium,NA,5,0,0,0,0,15,0,0,0,0,15,0.01,0,0
Iced Coffee - Small,Small,NA,5,0,0,0,0,10,0,0,0,0,11,0.01,0,0
Iced Coffee with AlmondMilk -Large,Large,NA,35,1,0,0,0,75,5,0,5,1,193,0.15,0,0
Iced Coffee with AlmondMilk -Medium,Medium,NA,25,0.5,0,0,0,50,4,0,3,1,130,0.1,0,0
Iced Coffee with AlmondMilk -Small,Small,NA,15,0,0,0,0,30,2,0,2,0,68,0.05,0,0
Iced Coffee with Cream - Large,Large,NA,120,12,6,0,35,65,2,0,2,2,75,0.06,0,0
Iced Coffee with Cream - Medium,Medium,NA,90,9,4.5,0,25,45,1,0,1,2,55,0.04,0,0
Iced Coffee with Cream - Small,Small,NA,60,6,3,0,20,30,1,0,1,1,37,0.03,0,0
Iced Coffee with Cream and Sugar - Large,Large,NA,260,12,6,0,35,65,37,0,36,2,75,0.06,0,0
Iced Coffee with Cream and Sugar - Medium,Medium,NA,190,9,4.5,0,25,45,27,0,27,2,55,0.04,0,0
Iced Coffee with Cream and Sugar - Small,Small,NA,130,6,3,0,20,30,18,0,18,1,38,0.03,0,0
Iced Coffee with Skim Milk - Large,Large,NA,25,0,0,0,0,45,3,0,3,3,94,0.07,0,0
Iced Coffee with Skim Milk -Medium,Medium,NA,20,0,0,0,0,35,2,0,2,2,70,0.05,0,0
Iced Coffee with Skim Milk - Small,Small,NA,15,0,0,0,0,25,2,0,2,1,47,0.04,0,0
